"name";"instance";"filename";"n";"m";"inkratio";"mean_occupation_area";"edge_density_distribution";"distortion";"frechet";"directionality";"monotonicity";"projected_monotonicity";"SL_angle";"self_intersections";"mean_edge_length_difference";"directionality_mag";"ambiguity_1";"accuracy_1";"precision_1";"specificity_1";"FPR_1";"ambiguity_2";"accuracy_2";"precision_2";"specificity_2";"FPR_2";"ambiguity_3";"accuracy_3";"precision_3";"specificity_3";"FPR_3";"ambiguity_4";"accuracy_4";"precision_4";"specificity_4";"FPR_4";"ambiguity_5";"accuracy_5";"precision_5";"specificity_5";"FPR_5";"inkratio_t";"ambiguity_t";"mean_occupation_area_t";"edge_density_distribution_t";"distortion_t";"frechet_t";"directionality_t";"monotonicity_t";"projected_monotonicity_t";"SL_angle_t";"self_intersections_t";"mean_edge_length_difference_t";"directionality_mag_t"
"cubu";"geo_gowalla_SANJOSE_1";"dashboard/output_dashboard/geo_gowalla_SANJOSE_1/cubu.json";68;74;0.7262;30;0.0511;1.0365;32.556;0.4518;0.2489;0;0.5335;0.5335;18.4706;9.1772;0.3198;0.1401;1;0.8824;0;0.4112;0.1228;0.769;0.7641;0.0183;0.5311;0.1034;0.6088;0.6031;0.0387;0.6616;0.0804;0.5021;0.4397;0.0626;0.7849;0.0632;0.4094;0.2789;0.0805;60.4212;3.6035;61.7056;66.2398;0.9146;205.447;1.2398;3.7701;1.5542;0.1714;0;0.8848;13.2234
"epb";"geo_gowalla_SANJOSE_1";"dashboard/output_dashboard/geo_gowalla_SANJOSE_1/epb.json";68;74;0.9893;43;0.0669;1.004;5.8021;0.0003;0.0003;0.0003;0.5335;0;2.8905;0.1453;0.9151;0.0372;1;0.25;0;0.9426;0.035;0.9689;0.1667;0.0023;0.9622;0.0342;0.9493;0.1226;0.0032;0.9708;0.0337;0.9432;0.1005;0.0036;1;0.032;0.9151;0;0.0055;62.0758;2.2826;62.2439;66.1545;0.2179;44.3919;0.8566;0.5024;0.2701;0.1712;13.6318;0.1726;2.1346
"fd";"geo_gowalla_SANJOSE_1";"dashboard/output_dashboard/geo_gowalla_SANJOSE_1/fd.json";68;74;0.9801;42.5;0.0664;1.0013;9.7316;0.2521;0.1113;0.004;0.5335;0;0.6048;0.169;0.888;0.0385;1;0.3088;0;0.9094;0.0372;0.9748;0.2426;0.0014;0.9374;0.0355;0.9449;0.1716;0.0032;0.9533;0.0346;0.9314;0.1348;0.0041;0.9816;0.0329;0.9042;0.0417;0.0059;62.3319;2.4383;61.6827;66.261;1.0259;962.4817;1.9367;4.6298;2.1875;0.1767;172.8685;1.0297;32.7776
"sepb";"geo_gowalla_SANJOSE_1";"dashboard/output_dashboard/geo_gowalla_SANJOSE_1/sepb.json";68;74;0.9958;43.2162;0.0673;1.0024;2.7035;0.0003;0.0003;0.0003;0.5335;0;1.6671;0.0915;0.9151;0.0372;1;0.25;0;0.9426;0.035;0.9689;0.1667;0.0023;0.9622;0.0342;0.9493;0.1226;0.0032;0.9708;0.0337;0.9432;0.1005;0.0036;1;0.032;0.9151;0;0.0055;55.7108;2.3367;61.1935;65.3772;0.1733;22.191;0.8254;0.3173;0.1948;0.1686;8.5208;0.1359;1.1234
"wr";"geo_gowalla_SANJOSE_1";"dashboard/output_dashboard/geo_gowalla_SANJOSE_1/wr.json";68;74;0.8185;34.4324;0.0568;1.0483;47.9199;0.0443;0.0016;0.0008;0.5335;0;23.4583;1.9058;0.5123;0.0865;1;0.7647;0;0.5821;0.077;0.8759;0.6593;0.0101;0.6768;0.0644;0.7472;0.5143;0.0233;0.799;0.0523;0.6425;0.3231;0.036;0.853;0.045;0.6134;0.2529;0.0436;60.2584;2.9046;61.7628;65.9635;1.0138;545.6636;1.7052;4.0965;1.8558;0.1726;199.4469;1.0419;24.519
"cubu";"geo_gowalla_SANJOSE_10";"dashboard/output_dashboard/geo_gowalla_SANJOSE_10/cubu.json";143;206;0.5915;19.3252;0.0803;1.0568;46.2877;0.4032;0.2072;0.0002;0.4842;0.4842;30.3474;9.9576;0.1232;0.2026;1;0.979;0;0.1952;0.1829;0.6705;0.8978;0.0205;0.3776;0.1409;0.3566;0.6941;0.064;0.5964;0.0953;0.2196;0.4481;0.1112;0.7963;0.0558;0.1595;0.2272;0.1516;195.6427;11694.8488;81.3093;89.1318;2.5096;504.3304;3.3855;10.1092;4.0803;0.4365;0;2.2509;35.4893
"epb";"geo_gowalla_SANJOSE_10";"dashboard/output_dashboard/geo_gowalla_SANJOSE_10/epb.json";143;206;0.9702;30.733;0.123;1.0246;25.341;0.0013;0.0012;0.0012;0.4842;0.0004;20.5168;0.4667;0.551;0.0451;1;0.8112;0;0.6098;0.04;0.9057;0.7049;0.0054;0.6949;0.0341;0.8069;0.5581;0.0115;0.8459;0.0263;0.6594;0.2841;0.0196;0.9402;0.0223;0.5925;0.1148;0.0237;137.4757;9757.3628;81.6658;87.2371;0.9832;372.9415;2.785;3.026;1.4682;0.4446;108.0687;0.7887;16.7749
"fd";"geo_gowalla_SANJOSE_10";"dashboard/output_dashboard/geo_gowalla_SANJOSE_10/fd.json";143;206;0.9528;30.7718;0.1207;1.0017;14.0728;0.201;0.0946;0.0039;0.4842;0;1.1393;0.1852;0.5988;0.0395;1;0.7552;0;0.643;0.0365;0.9342;0.6688;0.0032;0.7231;0.0322;0.8308;0.5161;0.0077;0.8826;0.0249;0.6761;0.2121;0.0152;0.9634;0.0215;0.6232;0.0703;0.0187;138.8154;9759.1417;81.2716;88.4371;2.7793;2652.4239;4.9138;12.0976;5.9316;0.4349;495.8596;2.7475;91.8026
"sepb";"geo_gowalla_SANJOSE_10";"dashboard/output_dashboard/geo_gowalla_SANJOSE_10/sepb.json";143;206;0.9741;30.8544;0.1234;1.0247;28.2133;0.0015;0.0011;0.0011;0.4842;0.0004;19.2687;0.4744;0.5497;0.0459;1;0.8112;0;0.6095;0.0406;0.9049;0.7033;0.0056;0.7023;0.0339;0.796;0.5413;0.0125;0.8434;0.0265;0.6639;0.2844;0.0202;0.9416;0.0224;0.5906;0.1112;0.0244;131.2611;9866.8366;82.2418;92.2828;0.8888;355.3786;2.6693;2.8877;1.4074;0.4418;105.5913;0.8593;16.1769
"wr";"geo_gowalla_SANJOSE_10";"dashboard/output_dashboard/geo_gowalla_SANJOSE_10/wr.json";143;206;0.6004;20.3398;0.0811;1.0587;63.5616;0.0587;0.0022;0.0016;0.4842;0;33.1873;2.4764;0.1924;0.1365;1;0.965;0;0.2593;0.1245;0.7615;0.8824;0.0126;0.4305;0.0971;0.4637;0.6775;0.041;0.6343;0.066;0.3088;0.4309;0.0732;0.8128;0.0418;0.2383;0.2183;0.0981;137.0139;12007.2699;81.8539;89.1211;2.7692;1507.2317;4.3023;11.1525;5.0526;0.4363;401.0913;2.5892;68.619
"cubu";"geo_gowalla_SANJOSE_12";"dashboard/output_dashboard/geo_gowalla_SANJOSE_12/cubu.json";78;112;0.6054;25.4464;0.0521;1.038;40.1003;0.443;0.2477;0;0.4868;0.4868;21.3303;8.508;0.2328;0.2081;1;0.9359;0;0.3251;0.1844;0.7342;0.8201;0.0251;0.453;0.1558;0.524;0.658;0.0552;0.5826;0.1239;0.4093;0.5011;0.0888;0.6922;0.0973;0.3507;0.3685;0.1169;86.8361;6461.612;82.2742;87.945;1.276;294.203;1.8334;5.3489;2.2359;0.2453;0;1.3578;19.3264
"epb";"geo_gowalla_SANJOSE_12";"dashboard/output_dashboard/geo_gowalla_SANJOSE_12/epb.json";78;112;0.9957;43.3482;0.0808;1.0194;27.1769;0.002;0.0014;0.0012;0.4868;0.0002;17.4963;0.4424;0.7103;0.0595;1;0.6538;0;0.7666;0.0546;0.9255;0.5057;0.0052;0.8111;0.0513;0.8779;0.4072;0.0087;0.8414;0.0487;0.8474;0.3348;0.0115;0.8797;0.045;0.8139;0.2497;0.0153;141.489;5931.8619;83.6112;88.9196;0.5159;191.2746;1.4362;1.632;0.7925;0.2477;61.2028;0.4327;8.9478
"fd";"geo_gowalla_SANJOSE_12";"dashboard/output_dashboard/geo_gowalla_SANJOSE_12/fd.json";78;112;0.9696;42.5893;0.0789;1.0006;9.6549;0.2756;0.1209;0.004;0.4868;0;0.4945;0.0909;0.6857;0.0648;1;0.6538;0;0.7331;0.0595;0.933;0.5541;0.0056;0.783;0.0546;0.8814;0.4661;0.0108;0.8327;0.049;0.8338;0.371;0.0168;0.8647;0.046;0.7957;0.2867;0.0199;86.6957;5664.0596;84.5225;89.3207;1.5085;1446.8658;2.7094;6.6047;3.2132;0.246;253.7217;1.5213;49.2682
"sepb";"geo_gowalla_SANJOSE_12";"dashboard/output_dashboard/geo_gowalla_SANJOSE_12/sepb.json";78;112;1.0182;44.6875;0.0822;1.0211;19.0529;0.0012;0.0014;0.0012;0.4868;0.0006;20.9087;0.407;0.7216;0.0595;1;0.6154;0;0.7817;0.0536;0.9229;0.4785;0.0063;0.8166;0.051;0.887;0.4014;0.0091;0.8498;0.048;0.8547;0.3237;0.0123;0.8782;0.0454;0.8279;0.2537;0.015;134.8455;5426.2736;83.3311;89.4947;0.4027;126.0111;1.334;1.1268;0.5682;0.2513;45.5515;0.3285;5.8448
